corpus	article_num	article_len	overlap_len	overlap_last_token	overlap_freq	5gram_logprob	below_threshold
brown	1	345	7	274	9	-9.591207	0
brown	1	345	7	304	1	-14.305659	0
brown	2	730	9	55	1	-15.0140135	0
brown	3	765	8	115	2	-12.424574	0
brown	3	765	8	251	1	-10.5470826	0
brown	3	765	8	279	30	-11.05123994	0
brown	3	765	8	407	1	-19.46083	0
brown	4	741	10	633	1	-11.36854256	0
brown	5	326	9	36	1	-17.44685	0
brown	5	326	9	39	1	-12.075648	0
brown	5	326	9	40	1	-16.491072	0
brown	6	867	8	323	1	-14.333113	0
brown	6	867	8	819	2	-10.38023972	0
brown	7	826	9	280	2	-13.707616	0
brown	8	815	9	167	2	-12.4710526	0
brown	8	815	9	777	15	-11.24461388	0
brown	8	815	9	811	2	-12.744662	0
brown	9	608	13	142	1	-15.24883	0
brown	10	938	10	286	1	-17.067243	0
brown	11	604	7	90	2	-12.3350886	0
brown	11	604	7	111	11	-11.952661	0
brown	11	604	7	242	2	-13.811405	0
brown	11	604	7	281	1	-12.260603	0
brown	11	604	7	373	1	-16.87469	0
brown	12	969	9	446	1	-24.4203	0
brown	12	969	9	500	1	-19.577981	0
brown	12	969	9	501	1	-17.00975	0
geco	0	5371	10	4201	2	-17.583625	0
geco	1	3522	39	1739	1	-87.528673	1
geco	2	2851	9	394	1	-12.956899	0
geco	2	2851	9	1404	1	-13.880053	0
geco	2	2851	9	2511	1	-14.398825	0
geco	2	2851	9	2646	1	-15.608307	0
geco	3	8158	10	2079	1	-15.5030746	0
geco	3	8158	10	4693	1	-19.30751	0
geco	3	8158	10	5062	2	-11.599111	0
geco	3	8158	10	5183	1	-15.514252	0
geco	3	8158	10	5184	1	-14.705066	0
geco	4	10752	10	518	29	-12.712674	0
geco	4	10752	10	519	3	-17.832973	0
geco	4	10752	10	2913	1	-17.863613	0
geco	4	10752	10	3243	1	-13.1228363	0
geco	4	10752	10	3244	1	-14.1636563	0
geco	4	10752	10	7283	1	-13.951084	0
geco	5	4847	10	75	1	-15.566606	0
geco	5	4847	10	2332	1	-16.595494	0
geco	5	4847	10	3058	1	-14.7612171	0
geco	6	4941	33	194	1	-75.3050426	1
geco	7	6703	11	3643	1	-21.456871	0
geco	8	5333	10	476	11	-9.629675	0
geco	8	5333	10	478	2	-14.874233	0
geco	8	5333	10	561	1	-15.408469	0
geco	8	5333	10	835	1	-16.13456	0
geco	8	5333	10	4119	1	-15.158383	0
geco	9	6278	10	702	1	-15.286392	0
geco	9	6278	10	762	1	-13.452126	0
geco	9	6278	10	2991	1	-14.201492	0
geco	9	6278	10	4316	1	-14.7967406	0
geco	9	6278	10	4489	1	-13.843902	0
geco	9	6278	10	4682	1	-14.52976	0
geco	9	6278	10	4728	1	-14.256832	0
geco	10	7131	42	1550	1	-95.4595713	1
geco	11	4613	11	1346	2	-15.1581222	0
geco	12	5439	10	1516	1	-22.84182	0
geco	12	5439	10	3868	3	-14.0696023	0
provo	0	65	9	42	1	-14.809295	0
provo	1	67	20	65	2	-50.521074	1
